data_publicacao,diario,secao,subsecao1,subsecao2,subsecao3,subsecao4,subsecao5,nome_materia,materia,link_materia_oficial,texto
03/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",SECRETÁRIA DE ESTADO DA ADMINISTRAÇÃO (SEAD),INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO ESTADO,,,COMPRA DE MATERIAL DE CONSUMO - EXPEDIENTE,http://diariooficial.rn.gov.br/dei/dorn3/docview.aspx?id_jor=00000001&data=20191003&id_doc=660974,http://diariooficial.rn.gov.br/dei/dorn3/documentos/00000001/20191003/660974.htm,"TERMO DE ADESÃO A ATA DE REGISTRO DE PREÇOS Nº 015/2019/IPERN
O Presidente do Instituto de Previdência dos
Servidores do Estado  IPERN declara para os devidos fins que o IPERN nos
termos do Decreto nº 21.008, de 12/01/2009, Artigo15 da Lei Federal 8666/93,
adere a Ata de Registro de Preços Nº 2.2/2019-CRP/SEARH, correspondente ao
Pregão Eletrônico Nº 25/2018-RP-SEARH. 
Nº DO PROCESSO: 03810020.001171/2019-62/IPERN
INTERESSADO: COMERCIAL JA LTDA
CNPJ: 01.653.918/0001-00
OBJETO: AQUISIÇÃO DE MATERIAL DE CONSUMO  MATERIAL DE
EXPEDIENTE.
VALOR DA DESPESA: O orçamento global importa no valor
de R$ 2.613,60 (dois mil seiscentos
e treze reais e sessenta centavos).
UNIDADE ORÇAMENTÁRIA: 16201
PROGRAMA DE TRABALHO: 09.271.0100.2145.214501
NATUREZA DA DESPESA: 339030.16
NATUREZA DA DESPESA: 339030.26
NATUREZA DA DESPESA: 339030.46
FONTE DE RECURSO: 0.250
Publique-se e cumpre-se
Natal, 02 de outubro de 2019.
Nereu Batista Linhares
Presidente do IPERN"
03/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",SECRETÁRIA DE ESTADO DA ADMINISTRAÇÃO (SEAD),INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO ESTADO,,,"COMPRA DE MATERIAL DE CONSUMO - HIGIENE, LIMPEZA E COZINHA",http://diariooficial.rn.gov.br/dei/dorn3/docview.aspx?id_jor=00000001&data=20191003&id_doc=660976,http://diariooficial.rn.gov.br/dei/dorn3/documentos/00000001/20191003/660976.htm,"TERMO DE ADESÃO A ATA DE REGISTRO DE
PREÇOS Nº 016/2019/IPERN
 
O Presidente do Instituto de Previdência
dos Servidores do Estado  IPERN declara para os devidos fins que o IPERN nos
termos do Decreto nº 21.008, de 12/01/2009, Artigo15 da Lei Federal 8666/93,
adere a Ata de Registro de Preços Nº 14.1/2018-CRP/SEARH, correspondente ao
Pregão Eletrônico Nº 23/2018-RP-SEARH. 
Nº DO PROCESSO: 03810020.001961/2019-48/IPERN

INTERESSADO: BETA SOLUTION COMÉRCIO ELETRO ELETRÔNICO LTDA-ME.
CNPJ: 11.028.345/0001-70
OBJETO: AQUISIÇÃO DE MATERIAL DE CONSUMO 
HIGIENE LIMPEZA E COZINHA.
VALOR DA DESPESA: O orçamento global
importa no valor de R$ 779,10 (setecentos
e setenta e nove reais e dez centavos).
UNIDADE ORÇAMENTÁRIA: 16201
PROGRAMA DE TRABALHO: 09.271.0100.2145.214501
NATUREZA DA DESPESA: 339030.22
FONTE DE RECURSO: 0.250
Publique-se e cumpre-se
Natal, 02 de outubro de 2019.
Nereu Batista Linhares
Presidente do IPERN"
03/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",SECRETÁRIA DE ESTADO DA ADMINISTRAÇÃO (SEAD),INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO ESTADO,,,COMPRA DE MATERIAL DE CONSUMO - EXPEDIENTE,http://diariooficial.rn.gov.br/dei/dorn3/docview.aspx?id_jor=00000001&data=20191003&id_doc=660977,http://diariooficial.rn.gov.br/dei/dorn3/documentos/00000001/20191003/660977.htm,"TERMO DE ADESÃO A ATA DE REGISTRO DE PREÇOS Nº 017/2019/IPERN
 
O Presidente do Instituto de Previdência dos
Servidores do Estado  IPERN declara para os devidos fins que o IPERN nos
termos do Decreto nº 21.008, de 12/01/2009, Artigo15 da Lei Federal 8666/93,
adere a Ata de Registro de Preços Nº 2.5/2019-CRP/SEARH, correspondente ao
Pregão Eletrônico Nº 25/2018-RP-SEARH.
Nº DO PROCESSO: 03810020.001174/2019-04/IPERN
 
INTERESSADO: HYDROLUZ COMÉRCIO EM GERAL EIRELI - EPP
CNPJ: 28.818.225/0001-79
OBJETO: AQUISIÇÃO DE MATERIAL DE CONSUMO  EXPEDIENTE.
VALOR DA DESPESA: O orçamento global importa no valor
de R$ 849,60 (oitocentos e quarenta
e nove reais e sessenta centavos).
UNIDADE ORÇAMENTÁRIA: 16201
PROGRAMA DE TRABALHO: 09.271.0100.2145.214501
NATUREZA DA DESPESA: 339030.16
NATUREZA DA DESPESA: 339030.26
FONTE DE RECURSO: 0.250
Publique-se e cumpre-se
Natal, 02 de outubro de 2019.
Nereu Batista Linhares
Presidente do IPERN"
03/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS","SECRETARIA DE ESTADO DA AGRICULTURA, DA PECUÁRIA E DA PESCA ",CENTRAIS DE ABASTECIMENTO DO RN (CEASA),,,EXTRATO DE PUBLICAÇÃO DO PRIMEIRO TERMO ADITIVO AO CONTRATO N° 01/2019,http://diariooficial.rn.gov.br/dei/dorn3/docview.aspx?id_jor=00000001&data=20191003&id_doc=660998,http://diariooficial.rn.gov.br/dei/dorn3/documentos/00000001/20191003/660998.htm,"ERRATA
PRIMEIRO TERMO ADITIVO AO CONTRATO 09/2019
A Centrais de Abastecimento do Rio Grande do Norte - CEASA/RN nos
termos do processo administrativo nº 03110004.000990/2019-79 torna público a
seguinte correção.
Conforme folha 16 (dezesseis) da edição nº 14.511 do dia 01 de
outubro de 2019 do Diário Oficial do Estado do Rio Grande do Norte.
Onde se lê: EXTRATO DO PRIMEIRO TERMO ADITIVO AO CONTRATO 03/2017
Leia-se: EXTRATO DO PRIMEIRO TERMO ADITIVO AO CONTRATO 09/2019
Pela CEASA/RN: FLÁVIO MORAIS (Diretor Presidente)."
03/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS","SECRETARIA DE ESTADO DA AGRICULTURA, DA PECUÁRIA E DA PESCA ",CENTRAIS DE ABASTECIMENTO DO RN (CEASA),,,Pregão Eletrônico de n° 001-2019-CEASA_RN - ANÁLISE DE PEDIDO DE IMPUGNAÇÃO.doc,http://diariooficial.rn.gov.br/dei/dorn3/docview.aspx?id_jor=00000001&data=20191003&id_doc=661079,http://diariooficial.rn.gov.br/dei/dorn3/documentos/00000001/20191003/661079.htm,"RESULTADO
DE PEDIDO DE IMPUGNAÇÃO
O Presidente da Comissão Permanente de Licitação da CEASA/RN, no
uso de suas atribuições vem apresentar o resultado do pedido de impugnação da
empresa  AUDAZ SISTEMAS ELETRÔNICOS DE SEGURANÇA LTDA-ME,
inscrita no CNPJ sob o n° 06.070.309/0001-00, referente ao Pregão Eletrônico de
n° 001/2019-CEASA/RN, que tem por objeto a contratação de empresa especializada
na prestação de serviços de vigilância eletrônica, denominado monitoramento
eletrônico e de vistoria de pronta resposta 24h, com fornecimento de
equipamentos e respectivos insumos necessários, mediante comodato, instalação,
configuração e operação do sistema de monitoramento, na área interna desta
CEASA.
Do pedido de impugnação: A impugnante alegou se tratar da mistura
de três serviços distintos, proibidos por lei, os quais são de vistoria de
pronta resposta 24h, vigilância eletrônica, denominada monitoramento
eletrônico e instalação, manutenção ou aluguel (comodato) de equipamentos de
vigilância eletrônica.
Da análise do pedido: com base no Parecer Jurídico de n° 224/2019
e conforme alegações da Coordenadoria Administrativa Operacional, o objeto da
licitação indagada é prática comum de mercado, inclusive existindo diversos
certames licitatórios realizados de forma conjunta para o mesmo objeto,
considerando também a desvantajosidade na contratação
de empresa diversa, especialmente quanto a avaliação de responsabilidades, por
considerar que eventuais falhas no sistema podem escusar de responsabilidade as
empresas contratadas e a análise do contexto econômico em relação aos custos
diluídos ao longo do período de vigência contratual e a efetiva economia que se
espera com a licitação única. Tendo esta comissão como regra a busca em ampliar
a competitividade e o universo de possíveis interessados, o que, por certo,
aumentará a quantidade de empresas em condição e disputar a contratação e a
natural redução de preços, respeitando todas as normas legais atinentes a
matéria em comento, em especial a Lei 13.303/2016 e o Regulamento de Licitações
e Contratos da CEASA/RN.
Da decisão: NEGAMOS PROVIMENTO ao recurso administrativo
interposto pela empresa AUDAZ SISTEMAS ELETRÔNICOS DE SEGURANÇA LTDA-ME.
Natal/RN, 02 de outubro de 2019.
Nilton William de Oliveira
Presidente da Comissão Permanente de Licitação da CEASA/RN."
03/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS","SECRETARIA DE ESTADO DA AGRICULTURA, DA PECUÁRIA E DA PESCA ",INSTITUTO DE ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL DO RN (EMATER),,,57ª Convocação - Edital 002/2016,http://diariooficial.rn.gov.br/dei/dorn3/docview.aspx?id_jor=00000001&data=20191003&id_doc=660952,http://diariooficial.rn.gov.br/dei/dorn3/documentos/00000001/20191003/660952.htm,"57ª CONVOCAÇÃO DO EDITAL Nº 002/2016
O Instituto de Assistência Técnica e Extensão Rural
do Rio Grande do Norte  EMATER/RN torna pública a quinquagésima sétima
convocação de candidatos aprovados no processo de seleção, regulamentado pelo
Edital Nº 002/2016 FUNCITERN-EMATER/RN, a se apresentarem no Escritório Central
da EMATER-RN em Natal, na Unidade Instrumental de Recursos Humanos - UIRH, no
prazo de 5 (cinco) dias úteis a contar da data da publicação.



NOME


CATEGORIA


LOTAÇÃO


ESCRITÓRIO




Jackson
  Silva Santos


Administrador


Natal


Central




Ana
  Paula de Oliveira Azevedo


Administrador


Natal


Central




Ana
  Carolina Pinheiro Canela Dantas


Contador


Natal


Central




Michael
  Ramalho de Oliveira Silva


Técnico
  Agrícola


Mossoró


Região de Mossoró



Contato: (84) 3232-2240"
03/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS","SECRETARIA DE ESTADO DA AGRICULTURA, DA PECUÁRIA E DA PESCA ",INSTITUTO DE ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL DO RN (EMATER),,,Aviso aos licitante PE009/2019,http://diariooficial.rn.gov.br/dei/dorn3/docview.aspx?id_jor=00000001&data=20191003&id_doc=660966,http://diariooficial.rn.gov.br/dei/dorn3/documentos/00000001/20191003/660966.htm,"AVISO AOS LICITANTES - PREGÃO ELETRÔNICO
PROCESSO Nº 02610007.000612/2019-52 PREGÃO
ELETRÔNICO Nº 009/2019
O
Governo do Estado do Rio Grande do Norte através do Instituto de Assistência
Técnica e Extensão Rural do Rio Grande do Norte-EMATER-RN, torna público que
realizará no dia 17/10/2019 as 09:30 horas (horário de brasília-DF), PREGÃO
ELETRÔNICO, do tipo menor preço, objetivando a aquisição de 22 (vinte e dois)
veículos, conforme especificações constantes no Edital. Maiores informações
através da CPL/EMATER, localizado no Centro Administrativo do Estado, Bloco VI
 Lagoa Nova  Natal/RN, no horário de 08:00 às 13:00 horas de segunda a
sexta-feira. O Edital está disponibilizado no site: www.licitacoes-e.com.br
sob o nº. Licitação 780415.
Natal, 02 de outubro de 2019.
Wadme Inacio Bezerra
PREGOEIRO"
03/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS","SECRETÁRIA DE ESTADO DA EDUCAÇÃO, DA CULTURA, DO ESPORTE E DO LAZER (SEEC)",,,,Contrato nº 006.2019 -- Ana Tereza Cavalcanti,http://diariooficial.rn.gov.br/dei/dorn3/docview.aspx?id_jor=00000001&data=20191003&id_doc=660978,http://diariooficial.rn.gov.br/dei/dorn3/documentos/00000001/20191003/660978.htm,"EXTRATO DE PUBLICAÇÃO DO PRIMEIRO
TERMO ADITIVO AO  CONTRATO  Nº 006/2018  DE LOCAÇÃO DE IMÓVEL.
PROCESSO N° 00410056.000889/2019-30
LOCATÁRIA: SECRETARIA DE
ESTADO DA EDUCAÇÃO, DA CULTURA, 
                       DO ESPORTE E DO
LAZER-SEEC
LOCADORA: ANA TEREZA
CAVALCANTI BANDEIRA ONOFRE.
OBJETIVO: Repasse de recursos financeiros da SEEC para a
senhora Ana Tereza Cavalcanti Bandeira Onofre,  o imóvel ora locado, destina-se à instalação e funcionamento da 14ª Diretoria Regional de
Educação-DIREC, órgão integrante da Administração Pública Estadual Direta.
VALOR: R$ 57.408,00 (Cinquenta e Sete Mil, 
Quatrocentos e Oito Reais).
DOTAÇÃO ORÇAMENTÁRIA: 18.101.12.361-0100-2238, Subação: 223801 - Manutenção e
Funcionamento, Natureza da Despesa: 3390.36.15
 Locação de Imóvel - Fonte: 0.1.00 
Recursos Ordinários. O valor total é de R$ 57.408,00 (Cinquenta e Sete Mil, 
Quatrocentos e Oito Reais), Sendo: R$ 13.889,04 (Treze Mil, Oitocentos e Oitenta e Nove Reais e Quatro
Centavos), referente ao exercício
de 2019 e R$ 43.518,96 (Quarenta
e Três Mil, Quinhentos e Dezoito Reais e Noventa e Seis Centavos), referente
ao exercício de 2020.
Natal, 01 de outubro de 2019.
GETÚLIO MARQUES FERREIRA
Secretário de
Estado da Educação, da Cultura, do Esporte e do Lazer-SEEC 
Locatário (a)
ANA TEREZA CAVALCANTI BANDEIRA
ONOFRE
Locador (a)"
03/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS","SECRETÁRIA DE ESTADO DA EDUCAÇÃO, DA CULTURA, DO ESPORTE E DO LAZER (SEEC)",,,,EXTRATO DE RENOVAÇÃO DE CONTRATO,http://diariooficial.rn.gov.br/dei/dorn3/docview.aspx?id_jor=00000001&data=20191003&id_doc=661014,http://diariooficial.rn.gov.br/dei/dorn3/documentos/00000001/20191003/661014.htm,"1ª DIREC  RENOVAÇÃO DE
CONTRATO TEMPORÁRIO
RENOVAÇÃO
DE CONTRATO TEMPORÁRIO POR TEMPO DETERMINADO DE 12 MESES, IMPRORROGÁVEIS, A
PARTIR DA DATA DO FIM DO CONTRATO ORIGINAL. REFERENTE AO PROCESSO Nº 00410059.001739/2018-32
DE
PRESTAÇÃO DE SERVIÇO POR TEMPO DETERMINADO, QUE ENTRE SI CELEBRAM O ESTADO DO
RIO GRANDE DO NORTE, ATRAVÉS DA SECRETARIA DE ESTADO DA EDUCAÇÃO, DA CULTURA,
DO ESPORTE E DO LAZER E DANILO MENDONÇA DE OLIVEIRA CPF 060.918.514-46, DE
ACORDO COM A LEI Nº 9.353 DE 19/08/2010, ALTERADA PELA LEI ESTADUAL Nº 9.737,
DE 26.06.2013, COM PUBLICAÇÃO NO DOE DE 27.06.2013 E ALTERADA PELA LEI Nº
10.149 DE 24 DE JANEIRO DE 2017 E PELA LEI Nº 10.323 DE 09 DE JANEIRO DE 2018.
DISCIPLINA:
ADMINISTRAÇÃO
CLAUSULA SEGUNDA  DO PRAZO
O presente contrato terá vigência
de 11.09.2019 a 10.09.2020
CLAUSULA SEGUNDA  REMUNERAÇÃO
 O CONTRATANTE obriga-se a pagar, como
retribuição pelos serviços prestados pelo (a) o valor mensal de R$
2.686,25(dois mil seiscentos e oitenta e seis reais e vinte e cinco centavos)
até o décimo dia do mês subsequente ao vencido.
Natal/RN, 23/09/2019
GETÚLIO MARQUES FERREIRA
Secretário de Estado da
Educação, da Cultura, do Esporte e do Lazer
Testemunhas:
CPF nº 155.688.064-20
CPF nº 465.838.314-49
 
9ª DIREC  RENOVAÇÃO DE
CONTRATO TEMPORÁRIO
RENOVAÇÃO
DE CONTRATO TEMPORÁRIO POR TEMPO DETERMINADO DE 12 MESES, IMPRORROGÁVEIS, A
PARTIR DA DATA DO FIM DO CONTRATO ORIGINAL. REFERENTE AO PROCESSO Nº 00410037.000936/2018-92
DE
PRESTAÇÃO DE SERVIÇO POR TEMPO DETERMINADO, QUE ENTRE SI CELEBRAM O ESTADO DO
RIO GRANDE DO NORTE, ATRAVÉS DA SECRETARIA DE ESTADO DA EDUCAÇÃO, DA CULTURA,
DO ESPORTE E DO LAZER E ISAYANE KARINNE DE OLIVEIRA S. MORAIS CPF 055.481.324-66,
DE ACORDO COM A LEI Nº 9.353 DE 19/08/2010, ALTERADA PELA LEI ESTADUAL Nº
9.737, DE 26.06.2013, COM PUBLICAÇÃO NO DOE DE 27.06.2013 E ALTERADA PELA LEI
Nº 10.149 DE 24 DE JANEIRO DE 2017 E PELA LEI Nº 10.323 DE 09 DE JANEIRO DE
2018.
DISCIPLINA:
FÍSICA
CLAUSULA SEGUNDA  DO PRAZO
O presente contrato terá
vigência de 19.09.2019 a 18.09.2020
CLAUSULA SEGUNDA  REMUNERAÇÃO
 O CONTRATANTE obriga-se a pagar, como
retribuição pelos serviços prestados pelo (a) o valor mensal de R$
2.686,25(dois mil seiscentos e oitenta e seis reais e vinte e cinco centavos)
até o décimo dia do mês subsequente ao vencido.
Natal/RN, 23/09/2019
GETÚLIO MARQUES FERREIRA
Secretário de Estado da
Educação, da Cultura, do Esporte e do Lazer
Testemunhas:
CPF nº 274.367.724-49
CPF nº 413.611.804-04
 
 
12ª DIREC  RENOVAÇÃO DE
CONTRATO TEMPORÁRIO
RENOVAÇÃO
DE CONTRATO TEMPORÁRIO POR TEMPO DETERMINADO DE 12 MESES, IMPRORROGÁVEIS, A
PARTIR DA DATA DO FIM DO CONTRATO ORIGINAL. REFERENTE AO PROCESSO Nº
00410059.002168/2018-53
DE
PRESTAÇÃO DE SERVIÇO POR TEMPO DETERMINADO, QUE ENTRE SI CELEBRAM O ESTADO DO
RIO GRANDE DO NORTE, ATRAVÉS DA SECRETARIA DE ESTADO DA EDUCAÇÃO, DA CULTURA,
DO ESPORTE E DO LAZER E LIDIANNE DE CASTRO LOPES CPF 010.941.424-17, DE ACORDO
COM A LEI Nº 9.353 DE 19/08/2010, ALTERADA PELA LEI ESTADUAL Nº 9.737, DE
26.06.2013, COM PUBLICAÇÃO NO DOE DE 27.06.2013 E ALTERADA PELA LEI Nº 10.149
DE 24 DE JANEIRO DE 2017 E PELA LEI Nº 10.323 DE 09 DE JANEIRO DE 2018.
DISCIPLINA:
LÍNGUA ESPANHOLA
CLAUSULA SEGUNDA  DO PRAZO
O presente contrato terá
vigência de 28.09.2019 a 27.09.2020
CLAUSULA SEGUNDA  REMUNERAÇÃO
 O CONTRATANTE obriga-se a pagar, como
retribuição pelos serviços prestados pelo (a) o valor mensal de R$
2.686,25(dois mil seiscentos e oitenta e seis reais e vinte e cinco centavos)
até o décimo dia do mês subsequente ao vencido.
Natal/RN, 23/09/2019
GETÚLIO MARQUES FERREIRA
Secretário de Estado da
Educação, da Cultura, do Esporte e do Lazer
Testemunhas:
CPF nº 296.806.664-00
CPF nº 012.604.094-06
 
14ª DIREC  RENOVAÇÃO DE
CONTRATO TEMPORÁRIO
RENOVAÇÃO
DE CONTRATO TEMPORÁRIO POR TEMPO DETERMINADO DE 12 MESES, IMPRORROGÁVEIS, A
PARTIR DA DATA DO FIM DO CONTRATO ORIGINAL. REFERENTE AO PROCESSO Nº 00410041.000695/2018-12
DE
PRESTAÇÃO DE SERVIÇO POR TEMPO DETERMINADO, QUE ENTRE SI CELEBRAM O ESTADO DO
RIO GRANDE DO NORTE, ATRAVÉS DA SECRETARIA DE ESTADO DA EDUCAÇÃO, DA CULTURA,
DO ESPORTE E DO LAZER E ANTÔNIO KAEDINO DA COSTA PINTO CPF 095.567.354-29, DE
